,City,Country,Lat,Log,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
349,Yulara,AU,-25.2406,130.9889,64.49,31,0,15.28,clear sky
350,Bang Saphan,TH,11.2126,99.5117,85.95,70,93,7.0,overcast clouds
351,Winslow,US,35.0242,-110.6974,78.96,9,0,3.0,clear sky
352,Livny,RU,52.4253,37.6069,60.91,92,61,3.6,broken clouds
353,Marystown,CA,47.1666,-55.1483,39.2,72,50,23.67,scattered clouds
354,Olenegorsk,RU,68.15,33.3,33.46,84,93,13.49,light snow
355,Mehamn,NO,71.0357,27.8492,35.87,67,100,19.26,overcast clouds
356,Hofn,IS,64.2539,-15.2082,46.35,97,100,10.29,overcast clouds
357,Alakurtti,RU,66.9672,30.3491,35.64,65,23,10.54,few clouds
358,Samarai,PG,-10.6167,150.6667,77.94,75,84,16.06,broken clouds
359,Bonavista,CA,48.6499,-53.1147,40.12,64,3,24.67,clear sky
360,Jumla,NP,29.2747,82.1838,58.71,94,100,0.6,overcast clouds
361,Cayenne,GF,4.9333,-52.3333,78.1,89,75,5.99,broken clouds
362,Karia,NG,11.7306,11.1629,84.92,42,100,5.55,overcast clouds
363,Tecolutla,MX,20.4833,-97.0167,81.7,85,100,13.67,overcast clouds
364,Marsh Harbour,BS,26.5412,-77.0636,76.77,76,0,9.06,clear sky
365,Eyl,SO,7.9803,49.8164,78.69,78,39,14.97,scattered clouds
366,Wellington,NZ,-41.2866,174.7756,58.66,79,20,3.0,few clouds
367,Southbridge,US,42.0751,-72.0334,47.73,95,100,9.84,heavy intensity rain
368,Praya,CV,14.9215,-23.5087,70.34,83,40,9.22,scattered clouds
369,Tessalit,ML,20.1986,1.0114,89.6,7,100,9.44,overcast clouds
370,Vao,NC,-22.6667,167.4833,72.12,63,0,25.61,clear sky
371,Casa Grande,US,32.8795,-111.7573,94.42,9,7,3.0,clear sky
372,Coihaique,CL,-45.5752,-72.0662,32.65,92,8,6.53,clear sky
373,Tevriz,RU,57.509,72.4042,61.23,56,71,4.79,broken clouds
374,Najran,SA,17.4924,44.1277,77.0,20,22,4.16,few clouds
375,Avila,ES,40.5833,-5.0,58.64,72,4,3.06,clear sky
376,Jalu,LY,29.0331,21.5482,81.59,23,30,6.82,scattered clouds
377,Amga,RU,60.8953,131.9608,67.06,36,91,5.5,overcast clouds
378,Lola,GN,7.8,-8.5333,70.65,99,100,2.1,overcast clouds
379,Sao Filipe,CV,14.8961,-24.4956,72.57,78,6,11.74,clear sky
380,Tezu,IN,27.9167,96.1667,87.64,61,91,2.86,overcast clouds
381,Lamar,US,33.6668,-95.5836,73.06,89,18,6.82,few clouds
382,San Jose,US,37.3394,-121.895,66.34,66,1,5.01,clear sky
383,San Patricio,US,28.017,-97.5169,81.32,87,68,11.74,broken clouds
384,Pyay,MM,18.8167,95.2167,91.45,50,65,7.31,light rain
385,Halifax,CA,44.6453,-63.5724,48.25,70,100,1.99,overcast clouds
386,Kansanshi,ZM,-12.0951,26.4273,46.87,64,0,2.59,clear sky
387,Am Timan,TD,11.0297,20.2827,83.68,47,42,5.14,scattered clouds
388,Sakaiminato,JP,35.55,133.2333,65.12,70,24,15.23,few clouds
389,Myaundzha,RU,63.0494,147.1858,41.85,75,100,14.9,overcast clouds
390,Horta,PT,38.5333,-28.6333,61.25,74,31,4.16,scattered clouds
391,Lebu,CL,-37.6167,-73.65,50.68,86,10,6.22,clear sky
392,Catalina Foothills,US,32.2979,-110.9187,91.54,9,8,1.99,clear sky
393,Nambiyur,IN,11.3667,77.3333,78.39,59,63,6.24,broken clouds
394,Teseney,ER,15.11,36.6575,85.48,39,3,7.52,clear sky
395,Rio Gallegos,AR,-51.6226,-69.2181,34.59,67,11,27.22,few clouds
396,Lahij,YE,13.1667,44.5833,82.92,47,100,3.18,overcast clouds
397,Sept-Iles,CA,50.2001,-66.3821,41.05,57,5,8.01,clear sky
398,Bahar,IR,34.9072,48.4414,68.34,27,0,2.93,clear sky
399,Tahe,CN,52.3333,124.7333,47.53,94,99,5.61,light rain
400,Pelym,RU,61.0108,61.9978,53.92,97,100,7.54,moderate rain
401,Road Town,VG,18.4167,-64.6167,77.2,76,5,12.08,clear sky
402,Salym,RU,60.0625,71.4789,53.1,65,85,5.95,overcast clouds
403,Lethem,GY,3.3803,-59.7968,75.15,93,99,5.73,light rain
404,Antanifotsy,MG,-19.65,47.3167,45.99,86,0,2.04,clear sky
405,Mnogovershinnyy,RU,53.9353,139.9242,56.19,43,77,4.85,broken clouds
406,Yacuiba,BO,-22.038,-63.6797,67.82,78,0,4.27,clear sky
407,Kemijarvi,FI,66.7131,27.4306,35.1,65,21,8.93,few clouds
408,Songjianghe,CN,42.1859,127.479,51.19,86,100,6.98,overcast clouds
409,Bandarbeyla,SO,9.4942,50.8122,79.99,77,94,19.13,overcast clouds
410,Mitsamiouli,KM,-11.3847,43.2844,76.23,68,0,3.91,clear sky
411,Ilulissat,GL,69.2167,-51.1,39.22,70,13,1.14,few clouds
412,Longido,TZ,-2.7333,36.6833,61.47,90,89,4.85,overcast clouds
413,Petropavl,KZ,54.8753,69.1628,67.98,42,0,9.51,clear sky
414,Padang,ID,-0.9492,100.3543,80.11,89,100,5.5,light rain
415,Kenai,US,60.5544,-151.2583,49.03,93,90,9.53,light rain
416,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,82.89,42,1,16.2,clear sky
417,Ukiah,US,39.1502,-123.2078,76.64,53,100,4.0,overcast clouds
418,Lagoa,PT,39.05,-27.9833,61.63,76,29,8.19,scattered clouds
419,Churapcha,RU,62.0025,132.4325,69.51,30,60,10.6,broken clouds
420,Paka,MY,4.6374,103.4368,86.32,68,1,6.35,clear sky
421,Ciamis,ID,-7.3257,108.3534,85.26,67,97,3.56,overcast clouds
422,Saurimo,AO,-9.6608,20.3916,56.23,46,89,5.19,overcast clouds
423,Licheng,CN,23.2955,113.8284,89.53,72,100,9.04,overcast clouds
424,Romans-Sur-Isere,FR,45.0464,5.0562,61.56,77,100,3.06,overcast clouds
425,Nhulunbuy,AU,-12.2333,136.7667,83.01,61,75,17.27,broken clouds
426,Richards Bay,ZA,-28.783,32.0377,68.7,71,83,5.32,broken clouds
427,Santa Marta,CO,11.2408,-74.199,83.98,74,75,10.0,broken clouds
428,Veselynove,UA,47.3567,31.2349,60.53,91,91,7.43,overcast clouds
429,San Policarpo,PH,12.1791,125.5072,84.6,74,35,6.29,scattered clouds
430,Cabedelo,BR,-6.9811,-34.8339,75.87,84,99,12.97,overcast clouds
431,Goure,NE,13.9835,10.2704,85.01,26,100,4.79,overcast clouds
432,Tripoli,LY,32.8752,13.1875,69.85,84,10,9.95,clear sky
433,Novyy Urengoy,RU,66.0833,76.6333,40.6,44,87,6.29,overcast clouds
434,Aripuana,BR,-9.1667,-60.6333,72.91,83,68,0.43,broken clouds
435,Rio Branco,BR,-9.9747,-67.81,74.01,100,0,2.93,clear sky
436,Bani Walid,LY,31.7566,13.9942,79.93,27,6,7.18,clear sky
437,Koslan,RU,63.4564,48.8989,44.13,88,98,7.29,overcast clouds
438,Vinh,VN,18.6667,105.6667,89.55,63,100,2.66,overcast clouds
439,Lithgow,AU,-33.4833,150.15,53.56,34,0,5.55,clear sky
440,Vigrestad,NO,58.5667,5.7,48.0,85,10,11.21,clear sky
441,Lulea,SE,65.5842,22.1547,42.87,61,60,4.61,broken clouds
442,Atbasar,KZ,51.8,68.3333,63.91,38,0,13.06,clear sky
443,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.89,93,16,17.52,few clouds
444,Mahebourg,MU,-20.4081,57.7,74.25,88,75,3.44,broken clouds
445,Aitape,PG,-3.1374,142.3475,84.83,73,96,6.02,overcast clouds
446,Port Macquarie,AU,-31.4333,152.9167,62.89,59,75,17.27,broken clouds
447,Clyde River,CA,70.4692,-68.5914,20.98,87,88,3.13,overcast clouds
448,Devils Lake,US,48.1128,-98.8651,57.31,51,100,13.4,overcast clouds
449,Massaguet,TD,12.4755,15.4365,89.64,33,92,5.59,overcast clouds
450,Xai-Xai,MZ,-25.0519,33.6442,59.86,53,0,5.79,clear sky
451,Tupik,RU,54.4253,119.9327,58.59,49,67,4.54,broken clouds
452,Husavik,IS,66.0449,-17.3389,47.07,71,15,11.83,few clouds
453,Inhambane,MZ,-23.865,35.3833,62.65,73,0,10.16,clear sky
454,Salinopolis,BR,-0.6136,-47.3561,78.64,85,100,9.8,overcast clouds
455,Arawa,PG,-6.2132,155.5367,78.76,91,100,3.18,light rain
456,Dharchula,IN,29.85,80.5333,75.52,71,62,4.61,broken clouds
457,Prince Rupert,CA,54.3161,-130.3201,50.14,71,95,2.13,overcast clouds
458,Ventimiglia,IT,43.7935,7.6026,63.14,78,100,1.77,overcast clouds
459,Altay,CN,47.8667,88.1167,67.12,36,0,5.73,clear sky
460,Ust-Ishim,RU,57.6935,71.1665,61.79,55,63,5.23,broken clouds
461,Sambava,MG,-14.2667,50.1667,70.68,84,3,7.05,clear sky
462,Paamiut,GL,61.994,-49.6678,41.41,56,6,12.03,clear sky
463,Vitim,RU,59.4511,112.5578,67.95,36,62,4.88,broken clouds
464,Yabrud,SY,33.9674,36.6574,50.52,39,0,2.46,clear sky
465,Zhanaozen,KZ,43.3,52.8,72.95,41,46,11.86,scattered clouds
466,Beringovskiy,RU,63.05,179.3167,33.6,82,14,13.27,few clouds
467,Temerin,RS,45.4086,19.8892,53.22,86,10,7.25,clear sky
468,Leshukonskoye,RU,64.8989,45.7622,35.35,93,100,7.52,overcast clouds
469,Naryan-Mar,RU,67.6713,53.087,38.39,95,100,14.36,overcast clouds
470,Arkhipo-Osipovka,RU,44.37,38.52,62.55,88,55,1.05,broken clouds
471,Bathsheba,BB,13.2167,-59.5167,79.3,70,82,14.54,broken clouds
472,Port Said,EG,31.2565,32.2841,70.45,79,0,7.74,clear sky
473,Erenhot,CN,43.6475,111.9767,60.37,38,64,13.02,broken clouds
474,Balod,IN,20.73,81.2047,96.44,33,0,12.46,clear sky
475,Avera,US,33.194,-82.5271,78.53,62,96,6.58,overcast clouds
476,Kalabo,ZM,-14.97,22.6814,49.89,51,0,3.06,clear sky
477,Scarborough,GB,54.2797,-0.4044,50.65,89,35,4.32,scattered clouds
478,Aksu,CN,41.1231,80.2644,83.59,15,6,4.92,clear sky
479,Bilibino,RU,68.0546,166.4372,51.31,53,68,2.37,broken clouds
480,Xiaoweizhai,CN,26.1903,107.5125,67.15,91,100,2.57,overcast clouds
481,Zhigansk,RU,66.7697,123.3711,54.97,53,0,15.95,clear sky
482,Belmonte,BR,-15.8631,-38.8828,77.5,85,38,4.54,scattered clouds
483,Ko Samui,TH,9.5357,99.9357,84.27,70,100,7.11,overcast clouds
484,Gadung,PH,6.8025,124.02,83.79,71,85,5.14,overcast clouds
485,Manggar,ID,-2.8833,108.2667,86.65,63,100,5.64,overcast clouds
486,Makat,KZ,47.6469,53.3463,74.52,46,39,4.05,scattered clouds
487,Bogorodskoye,RU,56.55,37.8833,55.4,81,100,6.76,light rain
488,Golden Gate,US,26.1879,-81.6951,78.98,81,16,5.08,few clouds
489,Conde,BR,-7.2597,-34.9075,73.87,89,100,8.52,overcast clouds
490,Kerewan,GM,13.4898,-16.0888,76.39,44,6,8.19,clear sky
491,Shenjiamen,CN,29.9576,122.298,70.56,81,85,10.76,overcast clouds
492,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,72,100,8.05,overcast clouds
493,Tigil,RU,57.8,158.6667,53.38,46,84,5.14,broken clouds
494,Kendari,ID,-3.945,122.4989,85.98,64,19,2.95,few clouds
495,Ati,TD,13.2154,18.3353,82.08,14,48,5.35,scattered clouds
496,Dokka,NO,60.84,10.0618,52.07,76,11,3.13,few clouds
497,Nantong,CN,32.0303,120.8747,85.01,48,44,10.47,scattered clouds
498,Ahipara,NZ,-35.1667,173.1667,57.9,74,79,14.5,broken clouds
499,Dekar,BW,-21.5333,21.9333,51.71,39,0,3.76,clear sky
500,Sydney,AU,-33.8679,151.2073,61.61,58,75,1.99,broken clouds
501,Yamada,JP,39.4667,141.95,68.92,64,45,10.04,scattered clouds
502,Matara,LK,5.9485,80.5353,82.08,81,73,14.43,broken clouds
503,Salalah,OM,17.0151,54.0924,81.57,86,100,3.94,overcast clouds
504,Jacksonville,US,30.3322,-81.6556,78.82,71,1,1.99,clear sky
505,Raudeberg,NO,61.9875,5.1352,47.19,86,6,6.38,clear sky
506,Hammerfest,NO,70.6634,23.6821,36.05,64,90,3.44,overcast clouds
507,Vardo,NO,70.3705,31.1107,35.78,72,97,24.11,overcast clouds
508,Belo Horizonte,BR,-19.9208,-43.9378,67.75,77,0,0.0,clear sky
509,Hudson Bay,CA,52.85,-102.3842,58.71,67,81,12.64,broken clouds
510,Fethiye,TR,36.6217,29.1164,58.87,60,0,6.33,clear sky
511,Margate,GB,51.3813,1.3862,53.69,81,77,3.0,broken clouds
512,Sudogda,RU,55.9539,40.8629,60.6,82,99,1.54,overcast clouds
513,Marawi,PH,7.9986,124.2928,79.25,78,94,3.0,overcast clouds
514,Necochea,AR,-38.5473,-58.7368,51.04,56,100,22.15,light rain
515,Kupang,ID,-10.1667,123.5833,86.58,58,40,16.11,scattered clouds
516,Atherton,GB,53.5237,-2.4935,57.22,84,100,1.88,overcast clouds
517,Madaoua,NE,14.073,5.96,83.71,9,100,3.62,overcast clouds
518,Aykhal,RU,66.0,111.5,58.93,46,81,16.62,broken clouds
519,Jaque,PA,7.5175,-78.1703,77.99,90,100,7.38,overcast clouds
520,Soe,ID,-9.8607,124.284,73.98,67,90,7.83,overcast clouds
521,Carupano,VE,10.6678,-63.2585,77.68,82,100,12.53,overcast clouds
522,Sinnamary,GF,5.3833,-52.95,75.13,97,96,12.53,overcast clouds
523,Maniitsoq,GL,65.4167,-52.9,37.6,78,37,14.54,scattered clouds
524,Nizwa,OM,22.9333,57.5333,91.42,14,32,3.31,scattered clouds
525,Biak,ID,-0.9131,122.8766,82.96,71,34,7.81,scattered clouds
526,Caloundra,AU,-26.8,153.1333,70.36,55,95,5.99,overcast clouds
527,Broken Hill,AU,-31.95,141.4333,54.52,39,100,13.18,overcast clouds
528,Hosur,IN,12.7167,77.8167,75.11,67,70,13.33,broken clouds
529,Tabory,RU,58.5198,64.5495,62.01,55,93,6.24,overcast clouds
530,Ambon,ID,-3.6954,128.1814,80.74,83,40,11.9,scattered clouds
531,Tornio,FI,65.8481,24.1466,37.42,69,44,8.61,scattered clouds
532,Camacha,PT,33.0833,-16.3333,63.36,72,20,5.75,few clouds
533,Victoria Point,AU,-27.5833,153.3,70.48,52,100,7.0,overcast clouds
534,Kuytun,RU,54.3419,101.5036,41.86,67,100,11.14,overcast clouds
535,Nishihara,JP,26.1842,127.7558,76.68,93,75,5.77,broken clouds
536,Sarakhs,IR,36.5449,61.1577,86.58,21,0,8.75,clear sky
537,Grindavik,IS,63.8424,-22.4338,50.56,93,90,28.1,overcast clouds
538,Mathbaria,BD,22.2876,89.9593,91.38,58,14,7.38,few clouds
539,Vestmanna,FO,62.1564,-7.1664,43.72,93,90,9.95,overcast clouds
540,Acajutla,SV,13.5928,-89.8275,80.92,82,80,6.93,broken clouds
541,Saldanha,ZA,-33.0117,17.9442,59.16,80,46,6.93,scattered clouds
542,Calamar,CO,10.2511,-74.9146,76.68,90,100,4.14,overcast clouds
543,Humberto De Campos,BR,-2.5983,-43.4611,74.62,92,88,3.09,overcast clouds
544,Teknaf,BD,20.8624,92.3058,87.71,65,80,3.71,broken clouds
545,Venice,US,27.0998,-82.4543,80.01,83,20,4.61,few clouds
546,Goderich,CA,43.7501,-81.7165,45.91,73,67,11.56,broken clouds
547,Gazanjyk,TM,39.2446,55.5154,86.09,29,0,10.8,clear sky
548,Laela,TZ,-8.5667,32.05,51.89,81,89,3.11,overcast clouds
549,Novodugino,RU,55.6305,34.2842,52.92,83,100,7.61,moderate rain
550,Kadnikov,RU,59.5022,40.338,50.81,79,100,3.56,overcast clouds
551,Dalnerechensk,RU,45.9339,133.7225,63.86,49,98,8.88,overcast clouds
552,Eureka,US,40.8021,-124.1637,56.91,76,87,5.01,overcast clouds
553,Nemuro,JP,43.3236,145.575,44.24,93,100,25.5,heavy intensity rain
554,Bollnas,SE,61.3482,16.3946,39.38,78,3,3.18,clear sky
555,Fort Nelson,CA,58.8053,-122.7002,63.97,35,88,8.12,overcast clouds
556,Pakxan,LA,18.3778,103.6601,92.01,73,90,3.8,overcast clouds
557,Praia,CV,14.9215,-23.5087,70.21,83,11,13.47,few clouds
558,La Ronge,CA,55.1001,-105.2842,53.73,64,68,11.12,broken clouds
559,Zhangye,CN,38.9342,100.4517,79.84,16,31,10.0,scattered clouds
560,Henties Bay,NA,-22.116,14.2845,60.19,80,0,3.71,clear sky
561,Bazarnyye Mataki,RU,54.8833,49.9333,64.83,73,100,5.35,overcast clouds
562,Arman,RU,59.7,150.1667,40.32,85,100,4.32,overcast clouds
563,Kautokeino,NO,69.0125,23.0412,32.09,79,89,2.73,overcast clouds
564,Trapani,IT,37.8333,12.6667,66.88,68,100,5.68,overcast clouds
565,Pokosnoye,RU,55.5258,101.0536,43.29,51,100,15.17,overcast clouds
566,Olutanga,PH,7.3106,122.8464,83.64,71,77,1.88,broken clouds
567,Deep River,CA,46.1001,-77.4995,38.95,47,2,5.06,clear sky
568,Roald,NO,62.5833,6.1333,49.15,87,7,11.5,clear sky
569,Olinda,BR,-8.0089,-34.8553,76.73,73,75,13.4,broken clouds
570,Pisco,PE,-13.7,-76.2167,65.01,89,74,2.71,broken clouds
571,San Quintin,MX,30.4833,-115.95,63.45,85,2,10.89,clear sky
572,Jaisalmer,IN,26.9147,70.9181,87.6,53,0,19.17,clear sky
573,Padampur,IN,29.6833,73.6167,102.61,14,0,8.97,clear sky
574,Tautira,PF,-17.7333,-149.15,86.02,74,72,1.68,broken clouds
575,Auka,HN,14.9333,-83.8333,75.87,87,100,3.13,overcast clouds
576,Ballangen,NO,68.3428,16.8315,42.19,87,40,1.39,scattered clouds
577,Ibotirama,BR,-12.1853,-43.2206,68.31,50,18,1.9,few clouds
578,Dali,CN,25.7,100.1833,76.21,48,62,6.58,broken clouds
579,College,US,64.8569,-147.8028,46.2,46,100,1.01,overcast clouds
580,Parlakimidi,IN,18.7667,84.0833,91.35,64,56,4.54,broken clouds
581,Rabaul,PG,-4.1967,152.1721,84.04,70,100,13.51,overcast clouds
582,Longonjo,AO,-12.9067,15.2533,52.18,49,7,2.51,clear sky
583,Kharp,RU,66.8014,65.8081,44.53,72,100,10.25,overcast clouds
584,Chon Buri,TH,13.3,101.3,91.72,66,66,11.56,broken clouds
585,Bontang,ID,0.1333,117.5,85.53,68,13,5.12,few clouds
586,Lavrentiya,RU,65.5833,-171.0,34.36,81,9,11.61,clear sky
587,Sao Carlos,BR,-22.0175,-47.8908,63.43,79,92,6.82,overcast clouds
588,San Cristobal,VE,7.7669,-72.225,66.18,95,89,2.26,overcast clouds
589,Hami,CN,42.8,93.45,84.07,19,91,14.12,overcast clouds
590,Tumalaytay,PH,12.2758,123.232,88.61,61,98,4.7,overcast clouds
591,Nyrob,RU,60.733,56.7202,57.6,93,100,7.56,overcast clouds
592,Komsomolskiy,UZ,40.4272,71.7189,81.82,28,0,4.61,clear sky
593,Novyy Urgal,RU,51.0736,132.5642,65.91,38,74,4.41,broken clouds
594,Valdivia,CL,-39.8142,-73.2459,41.09,91,15,0.89,few clouds
595,Barmer,IN,25.75,71.3833,85.42,60,0,15.55,clear sky
596,Morrope,PE,-6.5417,-80.0111,66.81,85,17,10.89,few clouds
597,Kedrovyy,RU,56.1667,91.8167,43.21,61,100,10.89,light rain
598,Yima,CN,34.7381,111.8839,87.91,16,100,12.53,overcast clouds
599,Pozo Colorado,PY,-23.4923,-58.7972,79.02,52,0,8.1,clear sky
600,Maryville,US,35.7565,-83.9705,70.12,95,100,1.01,overcast clouds
601,Tateyama,JP,34.9833,139.8667,80.15,78,75,17.27,broken clouds
602,Arrifes,PT,37.7667,-25.7,53.85,82,20,5.75,few clouds
603,Dunedin,NZ,-45.8742,170.5036,49.8,91,100,8.01,light rain
604,Mikkeli,FI,61.6886,27.2723,43.14,75,0,3.44,clear sky
605,Fort Saint James,CA,54.4333,-124.25,55.76,50,85,8.81,overcast clouds
606,Labrea,BR,-7.2586,-64.7981,74.75,85,1,2.53,clear sky
607,Nosy Varika,MG,-20.5833,48.5333,66.29,90,12,5.84,few clouds
608,Portland,US,45.5234,-122.6762,65.73,54,4,1.99,clear sky
609,Broome,US,42.2506,-75.833,46.02,89,90,1.01,light rain
610,Yeppoon,AU,-23.1333,150.7333,71.38,65,99,18.05,overcast clouds
611,Gillette,US,44.2911,-105.5022,64.06,61,40,15.01,scattered clouds
612,Yarmouth,US,41.7057,-70.2286,50.14,84,90,11.5,moderate rain
613,Tazmalt,DZ,36.3868,4.3989,64.0,89,16,2.91,few clouds
614,Umm Kaddadah,SD,13.6017,26.6876,83.44,12,17,10.33,few clouds
615,Pouembout,NC,-21.1333,164.9,73.33,59,57,10.47,broken clouds
616,Teya,RU,60.3778,92.6267,36.23,75,100,10.63,overcast clouds
617,Micheweni,TZ,-4.9667,39.8333,75.88,70,6,8.99,clear sky
618,Kapoeta,SS,4.7717,33.5903,76.48,54,33,11.77,scattered clouds
619,Gap,FR,44.6667,6.0,42.06,82,99,4.72,overcast clouds
620,Shaoxing,CN,30.011,120.5715,84.15,49,65,6.98,broken clouds
621,Zilair,RU,52.2332,57.4392,63.43,46,42,8.28,scattered clouds
622,Palafrugell,ES,41.9174,3.1631,63.41,76,23,3.4,few clouds
623,Sechura,PE,-5.5569,-80.8222,69.67,82,15,11.95,few clouds
624,Pietersburg,ZA,-23.9045,29.4688,41.4,31,0,6.64,clear sky
625,Camopi,GF,3.1655,-52.3158,72.03,100,91,1.92,overcast clouds
626,Redmond,US,47.674,-122.1215,63.09,66,71,1.01,broken clouds
627,Khorramabad,IR,33.4878,48.3558,74.52,26,0,2.75,clear sky
628,Skelleftea,SE,64.7507,20.9528,45.0,58,20,4.76,few clouds
629,Asau,RO,46.4333,26.4,57.76,98,100,3.24,overcast clouds
630,Stornoway,GB,58.2093,-6.3865,51.93,87,97,5.75,overcast clouds
631,Samana,DO,19.2056,-69.3369,76.75,85,89,7.92,overcast clouds
632,Dongsheng,CN,39.8161,109.9776,82.67,11,69,17.63,broken clouds
633,Mandera,KE,3.9366,41.867,74.82,67,38,8.84,scattered clouds
634,Trairi,BR,-3.2778,-39.2689,74.3,93,2,6.69,clear sky
635,Dolinsk,RU,47.35,142.8,48.06,97,100,9.91,moderate rain
636,Borba,BR,-4.3878,-59.5939,74.84,88,43,2.39,heavy intensity rain
637,Sisimiut,GL,66.9395,-53.6735,39.56,77,39,4.7,scattered clouds
638,Rabak,SD,13.1809,32.74,86.07,45,66,16.96,broken clouds
639,Ibra,OM,22.6906,58.5334,87.71,24,4,2.98,clear sky
640,Baiyin,CN,36.5583,104.2081,79.68,14,86,8.21,overcast clouds
641,Benemerito De Las Americas,MX,16.5167,-90.6439,74.64,95,83,1.57,broken clouds
642,Chicama,PE,-7.8447,-79.1469,66.92,90,51,5.19,broken clouds
643,Yatou,CN,37.15,122.3833,71.91,52,69,10.98,broken clouds
644,Kapan,AM,39.2075,46.4058,67.32,58,10,4.12,clear sky
645,Pemangkat,ID,1.1667,108.9667,84.04,71,93,2.06,overcast clouds
646,Cockburn Town,TC,21.4612,-71.1419,79.07,77,98,16.08,overcast clouds
647,Hvolsvollur,IS,63.7533,-20.2243,48.81,84,88,18.9,moderate rain
648,Santa Maria,BR,-29.6842,-53.8069,62.56,99,100,3.85,overcast clouds
649,Amahai,ID,-3.3333,128.9167,81.81,79,82,7.31,broken clouds
650,Atwater,US,37.3477,-120.6091,82.51,36,1,6.91,clear sky
651,Constitucion,CL,-35.3333,-72.4167,51.8,76,2,5.41,clear sky
652,Ubauro,PK,28.1652,69.7289,95.81,39,0,12.91,clear sky
653,Finschhafen,PG,-6.6024,147.8681,79.77,83,100,10.07,overcast clouds
654,Oriximina,BR,-1.7656,-55.8661,75.78,84,95,2.51,overcast clouds
655,Krasnoselkup,RU,65.7,82.4667,37.87,49,41,17.69,scattered clouds
656,Nalut,LY,30.3333,10.85,82.58,26,5,8.55,clear sky
657,Flic En Flac,MU,-20.2742,57.3631,74.52,82,16,6.35,few clouds
658,Guerrero Negro,MX,27.9769,-114.0611,60.1,81,100,17.18,overcast clouds
659,Hovd,MN,48.0056,91.6419,62.22,29,0,4.65,clear sky
660,Akcakoca,TR,41.0866,31.1162,59.36,94,100,6.17,light rain
661,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,53,27,9.55,scattered clouds
662,Christchurch,NZ,-43.5333,172.6333,50.92,96,90,11.5,light rain
663,Xacmaz,AZ,41.4635,48.806,70.29,57,19,2.55,few clouds
664,Muyezerskiy,RU,63.9333,31.65,37.22,70,9,9.06,clear sky
665,Timra,SE,62.487,17.3257,41.68,82,7,2.3,clear sky
666,Lukovetskiy,RU,64.2956,41.9211,37.38,83,93,7.85,light rain
667,Nelson Bay,AU,-32.7167,152.15,60.85,73,100,4.0,light rain
668,Atasu,KZ,48.6814,71.6433,71.67,27,0,11.21,clear sky
669,Bonfim,BR,3.0833,-59.95,76.48,87,98,6.08,overcast clouds
670,Sabha,LY,27.0377,14.4283,85.41,14,7,12.35,clear sky
671,Mantenopolis,BR,-18.8625,-41.1228,68.59,88,100,3.78,overcast clouds
672,Svetlyy,RU,54.675,20.1347,42.85,92,24,5.32,few clouds
673,Caluquembe,AO,-13.7833,14.6833,50.54,44,0,2.48,clear sky
674,Bose,IT,45.4612,8.0137,60.3,69,87,3.18,overcast clouds
675,Lindi,TZ,-10.0,39.7167,65.3,97,14,3.76,few clouds
676,Vuktyl,RU,63.8567,57.3094,50.02,80,87,11.07,overcast clouds
677,Dwarka,IN,22.2394,68.9678,83.43,78,100,14.14,overcast clouds
678,Yerbogachen,RU,61.2767,108.0108,63.07,40,100,7.78,overcast clouds
679,Cap Malheureux,MU,-19.9842,57.6142,74.46,77,82,1.99,light rain
680,Joshimath,IN,30.5667,79.5667,73.76,53,24,4.05,few clouds
681,Uige,AO,-7.6087,15.0613,64.71,57,99,3.18,overcast clouds
682,Te Anau,NZ,-45.4167,167.7167,43.3,98,100,6.38,overcast clouds
683,Manicore,BR,-5.8092,-61.3003,75.7,84,97,2.24,overcast clouds
684,Koindu,GN,8.4386,-10.3253,70.86,99,72,2.13,light rain
685,Purpe,RU,64.4803,76.6897,43.74,40,48,8.86,scattered clouds
686,Dunda,TZ,-8.1167,34.25,54.3,93,18,2.95,few clouds
687,Callaway,US,30.153,-85.5699,77.0,77,75,5.01,broken clouds
688,Teahupoo,PF,-17.8333,-149.2667,80.56,75,81,1.63,light rain
689,Yerkoy,TR,39.6381,34.4672,56.46,89,53,4.56,broken clouds
690,Bosaso,SO,11.2842,49.1816,86.99,53,21,6.98,few clouds
691,Veshenskaya,RU,49.6303,41.7334,63.86,76,64,5.21,broken clouds
692,Conceicao Do Araguaia,BR,-8.2578,-49.2647,71.55,77,72,2.66,broken clouds
693,Ishigaki,JP,24.3448,124.1572,82.04,78,86,9.17,overcast clouds
694,Gravdal,NO,68.1214,13.5031,42.6,72,17,0.76,few clouds
695,Mezen,RU,65.8522,44.24,37.26,80,67,10.51,broken clouds
696,Nebug,RU,44.1714,39.0036,62.33,86,31,2.17,scattered clouds
697,Metro,ID,-5.1131,105.3067,84.87,68,89,5.93,overcast clouds
698,Requena,ES,39.4883,-1.1004,55.71,66,52,2.3,broken clouds
699,Awjilah,LY,29.1081,21.2869,82.02,22,21,6.67,few clouds
700,Jijiga,ET,9.35,42.8,60.57,89,8,7.31,clear sky
